id,category_eng,category_ru,pronoun,pronoun_clean,pronoun_details,ipa,translation,translation_clean,translation_details,number,person,example_eng,example_ru,is_suspicious
0,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I am here.,Я здесь.,0
1,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I like coffee.,Мне нравится кофе.,0
2,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I will call you tomorrow.,Я позвоню тебе завтра.,0
3,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I don't understand this.,Я этого не понимаю.,0
4,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I need help.,Мне нужна помощь.,0
5,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You are my friend.,Ты мой друг.,0
6,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You can do it.,Ты можешь это сделать.,0
7,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You look tired.,Ты выглядишь уставшим.,0
8,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,Are you coming with us?,Ты пойдёшь с нами?,0
9,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You forgot your keys.,Ты забыл свои ключи.,0
10,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He is a teacher.,Он учитель.,0
11,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He works every day.,Он работает каждый день.,0
